In frame: 1, radius = 83 and center is [363, 210]
In frame: 2, radius = 82 and center is [363, 210]
In frame: 3, radius = 81 and center is [363, 209]
In frame: 4, radius = 80 and center is [363, 210]
In frame: 5, radius = 79 and center is [363, 210]
In frame: 6, radius = 78 and center is [364, 210]
In frame: 7, radius = 77 and center is [367, 206]
In frame: 8, radius = 77 and center is [366, 207]
In frame: 9, radius = 76 and center is [366, 207]
In frame: 10, radius = 75 and center is [365, 207]
In frame: 11, radius = 75 and center is [364, 206]
In frame: 12, radius = 74 and center is [364, 206]
In frame: 13, radius = 73 and center is [363, 207]
In frame: 14, radius = 72 and center is [363, 207]
In frame: 15, radius = 72 and center is [363, 207]
In frame: 16, radius = 72 and center is [363, 207]
In frame: 17, radius = 71 and center is [363, 207]
In frame: 18, radius = 71 and center is [363, 208]
In frame: 19, radius = 71 and center is [363, 208]
In frame: 20, radius = 71 and center is [362, 207]
In frame: 21, radius = 71 and center is [361, 207]
In frame: 22, radius = 71 and center is [360, 207]
In frame: 23, radius = 71 and center is [360, 208]
In frame: 24, radius = 71 and center is [359, 208]
In frame: 25, radius = 71 and center is [358, 209]
In frame: 26, radius = 70 and center is [357, 211]
In frame: 27, radius = 70 and center is [357, 212]
In frame: 28, radius = 69 and center is [355, 212]
In frame: 29, radius = 69 and center is [353, 213]
In frame: 30, radius = 68 and center is [351, 213]
In frame: 31, radius = 68 and center is [346, 213]
In frame: 32, radius = 68 and center is [343, 213]
In frame: 33, radius = 68 and center is [342, 213]
In frame: 34, radius = 68 and center is [340, 214]
In frame: 35, radius = 68 and center is [341, 214]
In frame: 36, radius = 68 and center is [341, 214]
In frame: 37, radius = 68 and center is [343, 213]
In frame: 38, radius = 68 and center is [345, 213]
In frame: 39, radius = 68 and center is [346, 212]
In frame: 40, radius = 67 and center is [347, 212]
In frame: 41, radius = 67 and center is [349, 211]
In frame: 42, radius = 67 and center is [349, 212]
In frame: 43, radius = 67 and center is [349, 211]
In frame: 44, radius = 67 and center is [349, 211]
In frame: 45, radius = 67 and center is [348, 211]
